Computer Name,Service Tag/Serial Number,IP Address,Logged On Users,Operating System
DELL-BYS5L02,BYS5L02,10.10.40.31,'--,Windows 10 Professional Edition (x64)
MERITSPARE,122P062,10.10.40.84,'--,Windows 10 Professional Edition (x64)
CCINBJDEV092,VMware-42 1e 88 29 2d ee d7 aa-26 19 39 a1 c8 e4 02 11,10.10.10.151,'--,Windows 10 Professional Edition (x64)
DXRCV93,DXRCV93,10.10.40.163,'--,Windows 10 Professional Edition (x64)
6DYV6S2,6DYV6S2,10.10.40.120,'--,Windows 10 Professional Edition (x64)
CACM00006B7HST2,6B7HST2,10.10.11.120,'--,Windows 10 Professional Edition (x64)
TYLERMERTLICH,FTVX6S2,10.20.65.44,'--,Windows 10 Professional Edition (x64)
USCM0000J656WV3,J656WV3,10.20.65.90,'--,Windows 11 Professional Edition (x64)
CMUS01L-6QVXX24,6QVXX24,10.20.65.92,'--,Windows 11 Professional Edition (x64)
CMUS01L-3G7SVV3,3G7SVV3,"169.254.218.147,10.20.65.132",Andrew,Windows 11 Professional Edition (x64)
CMUS01L-C4V72R2,C4V72R2,10.20.65.141,andrew.sederholm,Windows 11 Professional Edition (x64)
USCF3X08G3,F3X08G3,10.20.65.133,Andrew.Sederholm,Windows 10 Professional Edition (x64)
DESKTOP-02B6SAK,4D4FL13,"10.59.40.142,10.10.19.173",Cementation,Windows 11 Professional Edition (x64)
DESKTOP-PFI6TR4,5SV5034,10.20.64.223,Cementation,Windows 11 Professional Edition (x64)
RICARDOBRUCE,3Y571Z2,10.10.40.221,max.pinillos,Windows 10 Professional Edition (x64)
